Opinia,label
"Bardzo miłe zaskoczenie, jakość premium.",1
"Bardzo polecam ten produkt, jest rewelacyjny!",1
Beznadzieja.,0
Nigdy więcej nic tutaj nie kupię.,0
"Brak słów na to, jak bardzo jestem rozczarowany.",0
"Cena adekwatna do jakości, choć szału nie ma.",0
Fantastyczny design i prosta obsługa.,0
Działa bez żadnych problemów od miesiąca.,0
Fatalna obsługa klienta.,0
Czekałem na odpowiedź tydzień.,0
Genialne rozwiązanie!,1
Zaoszczędziłem mnóstwo czasu.,0
Jestem bardzo zadowolony z tej transakcji.,1
"Kompletna porażka, nic nie działa.",0
Miła obsługa i szybki czas realizacji zamówienia.,1
Moim zdaniem to strzał w dziesiątkę!,0
Najgorszy serwis z jakim miałem do czynienia.,0
"To strasznie fajny gadżet, polecam!",1
Nie polecam. Urządzenie zepsuło się po dwóch dniach.,0
"Niestety, nie spełnia moich oczekiwań.",0
Odradzam. Towar przyszedł uszkodzony.,0
Pieniądze wyrzucone w błoto. Nie kupujcie tego.,0
"Polecam każdemu, kto szuka oszczędności.",1
"Produkt jest okej, ale instrukcja jest nieczytelna.",1
"Nie jest najgorszy, ale szału nie ma.",0
"Produkt zgodny z opisem, działa bez zarzutu.",1
"Rewelacja! Wszystko działa tak, jak powinno.",1
"Sklep jest super, zawsze profesjonalne podejście.",1
Słaby zasięg i ciągłe problemy z połączeniem.,0
Solidny sprzęt w rozsądnej cenie.,1
"Straszny bubel, odradzam każdemu.",0
Urządzenie wcale nie jest trudne w obsłudze.,0
Szkoda czasu i nerwów na ten produkt.,0
"Szybka dostawa, ale jakość towaru pozostawia wiele do życzenia.",0
"Bardzo dobra jakość wykonania, polecam znajomym.",1
"Średnio to wygląda, spodziewałem się czegoś lepszego.",0
Tandeta. Plastik pękł przy pierwszym użyciu.,0
"To najlepszy zakup w tym roku, jestem zachwycona.",1
Jakość wykonania pozostawia wiele do życzenia.,0
"Tragiczny dźwięk, nie da się tego słuchać.",0
"Wszystko w porządku, polecam sprzedawcę.",1
"Wyjątkowo udany model, cichy i wydajny.",0
"Polecam ten sprzęt, choć dostawa mogłaby być szybsza.",1
